,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category
0,Amur-Nyzhnodniprovskyi,"Набережна на ж/м ""Сонячний""",4ead591a490170218c3e8eac,48.48207708940084,35.06403882284189,Waterfront
1,Amur-Nyzhnodniprovskyi,Джайпур,4e75e0861495be51714f2764,48.474489648909135,35.02883180587649,Gym / Fitness Center
2,Amur-Nyzhnodniprovskyi,Dance Republic,55a7a750498e39b5deec0a05,48.47726445462828,35.024194527112606,Dance Studio
3,Amur-Nyzhnodniprovskyi,Лазерхаус,5502f0e7498e26f68f81b356,48.47031737127309,35.043921417951246,Health & Beauty Service
4,Amur-Nyzhnodniprovskyi,Fozzy / Фоззи,52a6c1bc11d2f10095c778b6,48.483838960756174,35.06388269197015,Supermarket
5,Amur-Nyzhnodniprovskyi,Фонтан «Сфера» / Sphere Fountain,4fa220eee4b0bd954eb0ddbb,48.472713168380224,35.04269323226073,Fountain
6,Amur-Nyzhnodniprovskyi,Pa-Si-Ju,558cfeb5498e6a17da7dfe6f,48.47324938101741,35.02912513492513,French Restaurant
7,Amur-Nyzhnodniprovskyi,Оглядова «Диван»,4e6f933aa809952e23ed4d6b,48.48182774258839,35.062299714592676,Scenic Lookout
8,Amur-Nyzhnodniprovskyi,Дитяча планета,57cbf1b7498e231d1c6f4363,48.48415999615561,35.06446615878295,Arcade
9,Amur-Nyzhnodniprovskyi,Boomerang / Бумеранг,4f4775b6e4b0e7e90d6bffa8,48.469613986926824,35.04923880816289,Board Shop
10,Amur-Nyzhnodniprovskyi,Orange,503b9d55e4b0e2a7dbfff720,48.51122020877144,35.071843575219035,Gym / Fitness Center
11,Amur-Nyzhnodniprovskyi,HAVE Coffee,5a2fa09e69e77b22f361c493,48.46938619295018,35.038928379213864,Coffee Shop
12,Amur-Nyzhnodniprovskyi,Флекс,4c9df1d4ca44236a19742599,48.48002894802205,35.02577307915654,Gym / Fitness Center
13,Amur-Nyzhnodniprovskyi,Суши Набухико,5691301f498e3250c1f2ac16,48.469578549699776,35.05255660256293,Sushi Restaurant
14,Amur-Nyzhnodniprovskyi,Confetti | Конфетти,5bbefb002aff31002b5f9d9b,48.483092,35.063147,Modern European Restaurant
15,Amur-Nyzhnodniprovskyi,The Atelier,55801473498e60503157083a,48.470149262167844,35.04943712208916,Coffee Shop
16,Amur-Nyzhnodniprovskyi,McDonald's,4c31c15116adc928d807c19c,48.48809784987449,35.06333461617614,Fast Food Restaurant
17,Amur-Nyzhnodniprovskyi,Viking,511ea222e4b0e88c35ef4c33,48.51747154527263,35.04947327679901,Gym
18,Amur-Nyzhnodniprovskyi,Сільпо / Silpo,4e68f2dfaeb75ce774daf5c8,48.475689947417564,35.0216016727266,Grocery Store
19,Amur-Nyzhnodniprovskyi,Zeffirino,592db15e04d1ae4b86d620f3,48.473182313725594,35.02944652729223,Coffee Shop
20,Amur-Nyzhnodniprovskyi,Onur Bakery,5c9774d59cadd9002c21441a,48.46830886317628,35.038178461145584,Coffee Shop
21,Amur-Nyzhnodniprovskyi,JYSK,51617f8f72da2e608edb8803,48.469510095600235,35.052428801116925,Furniture / Home Store
22,Amur-Nyzhnodniprovskyi,Аптека МедАкадемии,4fb36679e4b0dda735ba7e55,48.51248368496344,35.07025525499037,Pharmacy
23,Amur-Nyzhnodniprovskyi,Парк Лазаря Глоби,4dd2badc227159fef251f6a1,48.469401095015996,35.031393834793924,Park
24,Amur-Nyzhnodniprovskyi,N-Dorfin,50fd8116e4b01d6669bcef2e,48.481177844894816,35.07148008513451,Gym / Fitness Center
25,Amur-Nyzhnodniprovskyi,RIO club,4c9637c6533aa093d6aacf45,48.47295879427808,35.04344323385569,Nightclub
26,Amur-Nyzhnodniprovskyi,Felicita! / Фелічіта!,4eecc07c722ea77616c673bd,48.47296209516348,35.030420202278535,Italian Restaurant
27,Amur-Nyzhnodniprovskyi,"Вільний простір ""Риба Андрій"" / Ryba Andriy",505eee3764a4087310b44aa5,48.46963814838264,35.0424538929283,Hostel
28,Amur-Nyzhnodniprovskyi,Заграва,5343e695498ef2135d81eacf,48.50473053998275,35.07165715564872,Hotel
29,Amur-Nyzhnodniprovskyi,Фонтан «Муза»,4e8b247c93ad2e858aaeb1b8,48.469313324224245,35.038405293484004,Fountain
30,Amur-Nyzhnodniprovskyi,Капонэ Бар / Capone bar,4ee79880aa1f9a429e0ffbf1,48.48038405068621,35.07440961546468,Café
31,Amur-Nyzhnodniprovskyi,Воронцовський пляж,503b9b74e4b0d218925a8635,48.485405244602426,35.05399988352656,Beach
32,Amur-Nyzhnodniprovskyi,Море Пива,507d7d0de4b0e49c616750c1,48.51542514215089,35.05397384351703,Beer Store
33,Amur-Nyzhnodniprovskyi,Black Moon Espresso Bar,5c0a4f6d1c675b00397a4028,48.46872588588893,35.03884357666248,Coffee Shop
34,Amur-Nyzhnodniprovskyi,Настолкино,56103adc498e190f1aa06746,48.47572520295389,35.02167871084987,Toy / Game Store
35,Amur-Nyzhnodniprovskyi,GLAMOUR,53a71390498ef54d029a979b,48.47550582885742,35.020694732666016,Café
36,Amur-Nyzhnodniprovskyi,Сільпо / Silpo,4f707c59e4b0a6b77429d0fe,48.46815300928627,35.04881005449371,Supermarket
37,Amur-Nyzhnodniprovskyi,"Шиномонтаж ""Колеса""",5033b5d5e4b07a7ff4a27af2,48.519028938695676,35.04112995401452,Automotive Shop
38,Amur-Nyzhnodniprovskyi,Парк Сагайдак / Sagaidak Park,4f376004e4b09ca12d13bf72,48.48698182097327,35.05669431818549,Park
39,Amur-Nyzhnodniprovskyi,Бассейн Финансовой академии,4f32b987e4b0195893973609,48.50167681251114,35.069404036636044,Pool
40,Amur-Nyzhnodniprovskyi,"Grill-Pub""Горец""",57053f6dcd100defd4a6f2c1,48.505318,35.077119,BBQ Joint
41,Amur-Nyzhnodniprovskyi,Парк живых и мертвых,518fa5bb498e971bdc9e4888,48.50295488569426,35.020194867311574,Sculpture Garden
42,Amur-Nyzhnodniprovskyi,Порт,55632ec1498e08b6c3959926,48.484251893244135,35.018879053159665,Seafood Restaurant
43,Amur-Nyzhnodniprovskyi,Хинкальня,58c92c807a8f044fc088b56a,48.49856,35.0697,Caucasian Restaurant
44,Amur-Nyzhnodniprovskyi,Правда парк,527e0a52498e8d1d4d97f0ec,48.49858250673296,35.06887764951945,Theme Park
45,Amur-Nyzhnodniprovskyi,JYSK / ЮСК,53045d54498e27f6f2ccc234,48.49848984530927,35.069891383287505,Furniture / Home Store
46,Amur-Nyzhnodniprovskyi,Ривьера / Reviera,4e67c85f18a8bf0571c0d5fb,48.47975201725006,35.07018120252929,Restaurant
47,Amur-Nyzhnodniprovskyi,Coffee Life,524570d5498e39dea83a9d92,48.49855241731131,35.0698519113488,Coffee Shop
48,Amur-Nyzhnodniprovskyi,Булочная 1,52f504b811d21bda95893294,48.47727040258286,35.01632168067175,Bakery
49,Amur-Nyzhnodniprovskyi,Krystal club,52f6bced498ead08f2de8591,48.47895153621068,35.023496689732994,Nightclub
50,Amur-Nyzhnodniprovskyi,McDonald's,4cef0d0882125481cca467a1,48.47727776041328,35.02022445201874,Fast Food Restaurant
51,Amur-Nyzhnodniprovskyi,Веснянка,4e75ccc11495be5171476efa,48.510492219948034,35.0457256472425,Shopping Mall
52,Amur-Nyzhnodniprovskyi,Сандуны,4e7f059b0aafa30264a2355e,48.507860133846755,35.07659866074529,Spa
53,Amur-Nyzhnodniprovskyi,Франс.уа,575aac1f498eb633f979f801,48.47683231648918,35.01994817895341,Bakery
54,Amur-Nyzhnodniprovskyi,Сільпо / Silpo,55d06e65498ed79266632d7a,48.49842595177152,35.069522344199726,Supermarket
55,Amur-Nyzhnodniprovskyi,Бассейн «Старый парк»,53b3cace498e7cdb9767be1b,48.48601727710145,35.06144559263405,Pool
56,Amur-Nyzhnodniprovskyi,Watsons,529dac0211d23ab3da48509f,48.49850098390047,35.0699052184105,Cosmetics Shop
57,Amur-Nyzhnodniprovskyi,Gloria Jeans,52fa2c4a498eb310e927f6f6,48.49847925323033,35.069792315346916,Clothing Store
58,Amur-Nyzhnodniprovskyi,Чао,567eec01498ec1c980acb73b,48.481774505809234,35.06523893147161,Café
59,Amur-Nyzhnodniprovskyi,Остановка ул. Мариупольская,506fc2abe4b0eb64050a63c6,48.49385723995564,35.04403478897286,Bus Station
60,Amur-Nyzhnodniprovskyi,Деревянный рынок,4edc8e80b8f7fcd042d3ff1d,48.49406182762818,35.04196537283953,Furniture / Home Store
