,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category,Venue Address,Venue Categories,Venue Likes,Venue Rating,Venue Is Open
0,Amur-Nyzhnodniprovskyi,Fozzy / Фоззи,52a6c1bc11d2f10095c778b6,48.483838960756174,35.06388269197015,Supermarket,"['ТРЦ ""Вавілон"" (вул. Маршала Малиновського, 2)', 'Дніпро', 'Україна']","['Supermarket', 'Grocery Store']",374,7.9,False
1,Amur-Nyzhnodniprovskyi,Pa-Si-Ju,558cfeb5498e6a17da7dfe6f,48.47324938101741,35.02912513492513,French Restaurant,"['просп. Дмитра Яворницького, 90', 'Дніпро', 'Україна']",['French Restaurant'],231,8.4,False
2,Amur-Nyzhnodniprovskyi,HAVE Coffee,5a2fa09e69e77b22f361c493,48.46938619295018,35.038928379213864,Coffee Shop,"['просп. Дмитра Яворницького, 70а (вул. Юліуша Словацького)', 'Дніпро́', 'Україна']",['Coffee Shop'],80,8.4,False
3,Amur-Nyzhnodniprovskyi,Суши Набухико,5691301f498e3250c1f2ac16,48.469578549699776,35.05255660256293,Sushi Restaurant,"['вул. Січеславська Набережна, 31-А', 'Дніпро', 'Україна']",['Sushi Restaurant'],42,8.2,False
4,Amur-Nyzhnodniprovskyi,Confetti | Конфетти,5bbefb002aff31002b5f9d9b,48.483092,35.063147,Modern European Restaurant,"['ул. Малиновского, 2', 'Дніпро', 'Україна']",['Modern European Restaurant'],8,7.5,
5,Amur-Nyzhnodniprovskyi,The Atelier,55801473498e60503157083a,48.470149262167844,35.04943712208916,Coffee Shop,"['вул. Європейська, 30', 'Дніпро', 'Україна']",['Coffee Shop'],190,8.0,False
6,Amur-Nyzhnodniprovskyi,McDonald's,4c31c15116adc928d807c19c,48.48809784987449,35.06333461617614,Fast Food Restaurant,"['просп. Слобожанський, 1А (просп. Мануйлівський)', 'Дніпро, 49000', 'Україна']",['Fast Food Restaurant'],380,7.3,False
7,Amur-Nyzhnodniprovskyi,Сільпо / Silpo,4e68f2dfaeb75ce774daf5c8,48.475689947417564,35.0216016727266,Grocery Store,"['вул. Пастера, 6а', 'Дніпро', 'Україна']",['Grocery Store'],103,7.7,False
8,Amur-Nyzhnodniprovskyi,Zeffirino,592db15e04d1ae4b86d620f3,48.473182313725594,35.02944652729223,Coffee Shop,"['просп. Дмитра Яворницького, 90а', 'Dnipro, 49000', 'Україна']","['Coffee Shop', 'Dessert Shop']",39,7.7,False
9,Amur-Nyzhnodniprovskyi,Onur Bakery,5c9774d59cadd9002c21441a,48.46830886317628,35.038178461145584,Coffee Shop,"['проспект Дмитрия Яворницкого, 83', 'Дніпро́, 49000', 'Україна']",['Coffee Shop'],22,7.9,False
