Temperature, degC 	 Pressure, bar 	 hf, kJ/kg 	 hg, kJ/kg 	 sf, kJ/(kg K) 	 sg, kJ/(kg K) 	 vf, m^3/kg 	 vg, m^3/kg 
0.01	0.00611657	0.000611783	2500.9109946395	0	9.1554914737	0.0010002063	205.9974594854
4	0.0081354938	16.8127172951	2508.237464527	0.0611009773	9.0505562347	0.0010000743	157.1213322514
5	0.0087257486	21.019355831	2510.0717168774	0.0762516518	9.0248586894	0.0010000825	147.0168645061
6	0.0093535306	25.2236629605	2511.9051298992	0.091339574	8.999396572	0.0010001061	137.6381802847
8	0.0107298775	33.6260165856	2515.5693278065	0.1213315653	8.9491672418	0.0010001979	120.8344299395
10	0.0122818387	42.0210886485	2519.2298389404	0.1510850863	8.8998459206	0.0010003464	106.3086968846
11	0.0131294913	46.2162428415	2521.0586437675	0.1658747009	8.8755189732	0.0010004409	99.7926628861
12	0.0140282237	50.4099715858	2522.8864451461	0.1806073323	8.8514109625	0.0010005485	93.7242909414
13	0.0149806377	54.602383983	2524.7132158716	0.1952837607	8.8275192845	0.0010006688	88.0697806593
14	0.0159894406	58.7935801452	2526.5389287185	0.2099047263	8.8038413744	0.0010008015	82.7980991212
15	0.0170574487	62.9836520805	2528.3635564137	0.2244709337	8.7803747058	0.0010009463	77.8807375687
16	0.0181875904	67.1726844956	2530.1870716086	0.2389830549	8.7571167899	0.0010011029	73.2914908852
17	0.0193829088	71.3607555214	2532.0094468513	0.2534417318	8.7340651746	0.0010012711	69.0062576126
18	0.0206465653	75.5479373698	2533.8306545571	0.2678475797	8.7112174441	0.0010014506	65.0028584761
19	0.0219818425	79.7342969275	2535.6506669793	0.282201189	8.6885712175	0.0010016412	61.2608716021
20	0.0233921477	83.919896293	2537.4694561791	0.2965031278	8.6661241488	0.0010018426	57.761482803
21	0.0248810157	88.1047932619	2539.2869939962	0.3107539435	8.6438739255	0.0010020546	54.4873494688
22	0.0264521125	92.2890417649	2541.1032520186	0.3249541649	8.6218182683	0.0010022771	51.4224767527
23	0.0281092382	96.4726922639	2542.918201553	0.3391043037	8.5999549303	0.0010025098	48.5521048757
24	0.0298563307	100.6557921095	2544.7318135952	0.3532048559	8.5782816961	0.0010027526	45.8626064902
